100 atkartojumi | Pilnas tabulas izgusana

Atkartojums 1: 2049280 ieraksti | Laiks: 26.67 s
Atkartojums 2: 2049280 ieraksti | Laiks: 29.58 s
Atkartojums 3: 2049280 ieraksti | Laiks: 25.64 s
Atkartojums 4: 2049280 ieraksti | Laiks: 24.78 s
Atkartojums 5: 2049280 ieraksti | Laiks: 24.35 s
Atkartojums 6: 2049280 ieraksti | Laiks: 24.96 s
Atkartojums 7: 2049280 ieraksti | Laiks: 24.96 s
Atkartojums 8: 2049280 ieraksti | Laiks: 24.75 s
Atkartojums 9: 2049280 ieraksti | Laiks: 24.77 s
Atkartojums 10: 2049280 ieraksti | Laiks: 25.12 s
Atkartojums 11: 2049280 ieraksti | Laiks: 24.90 s
Atkartojums 12: 2049280 ieraksti | Laiks: 25.19 s
Atkartojums 13: 2049280 ieraksti | Laiks: 25.05 s
Atkartojums 14: 2049280 ieraksti | Laiks: 25.01 s
Atkartojums 15: 2049280 ieraksti | Laiks: 24.79 s
Atkartojums 16: 2049280 ieraksti | Laiks: 24.92 s
Atkartojums 17: 2049280 ieraksti | Laiks: 24.78 s
Atkartojums 18: 2049280 ieraksti | Laiks: 24.96 s
Atkartojums 19: 2049280 ieraksti | Laiks: 25.22 s
Atkartojums 20: 2049280 ieraksti | Laiks: 25.06 s
Atkartojums 21: 2049280 ieraksti | Laiks: 25.44 s
Atkartojums 22: 2049280 ieraksti | Laiks: 24.39 s
Atkartojums 23: 2049280 ieraksti | Laiks: 25.07 s
Atkartojums 24: 2049280 ieraksti | Laiks: 25.46 s
Atkartojums 25: 2049280 ieraksti | Laiks: 24.86 s
Atkartojums 26: 2049280 ieraksti | Laiks: 25.14 s
Atkartojums 27: 2049280 ieraksti | Laiks: 24.97 s
Atkartojums 28: 2049280 ieraksti | Laiks: 24.69 s
Atkartojums 29: 2049280 ieraksti | Laiks: 25.18 s
Atkartojums 30: 2049280 ieraksti | Laiks: 24.68 s
Atkartojums 31: 2049280 ieraksti | Laiks: 25.57 s
Atkartojums 32: 2049280 ieraksti | Laiks: 24.51 s
Atkartojums 33: 2049280 ieraksti | Laiks: 25.39 s
Atkartojums 34: 2049280 ieraksti | Laiks: 24.43 s
Atkartojums 35: 2049280 ieraksti | Laiks: 25.55 s
Atkartojums 36: 2049280 ieraksti | Laiks: 24.62 s
Atkartojums 37: 2049280 ieraksti | Laiks: 25.52 s
Atkartojums 38: 2049280 ieraksti | Laiks: 24.52 s
Atkartojums 39: 2049280 ieraksti | Laiks: 25.34 s
Atkartojums 40: 2049280 ieraksti | Laiks: 24.70 s
Atkartojums 41: 2049280 ieraksti | Laiks: 25.34 s
Atkartojums 42: 2049280 ieraksti | Laiks: 24.77 s
Atkartojums 43: 2049280 ieraksti | Laiks: 25.49 s
Atkartojums 44: 2049280 ieraksti | Laiks: 24.83 s
Atkartojums 45: 2049280 ieraksti | Laiks: 25.54 s
Atkartojums 46: 2049280 ieraksti | Laiks: 24.82 s
Atkartojums 47: 2049280 ieraksti | Laiks: 25.08 s
Atkartojums 48: 2049280 ieraksti | Laiks: 24.70 s
Atkartojums 49: 2049280 ieraksti | Laiks: 25.16 s
Atkartojums 50: 2049280 ieraksti | Laiks: 24.70 s
Atkartojums 51: 2049280 ieraksti | Laiks: 25.38 s
Atkartojums 52: 2049280 ieraksti | Laiks: 24.57 s
Atkartojums 53: 2049280 ieraksti | Laiks: 25.37 s
Atkartojums 54: 2049280 ieraksti | Laiks: 24.91 s
Atkartojums 55: 2049280 ieraksti | Laiks: 25.13 s
Atkartojums 56: 2049280 ieraksti | Laiks: 24.82 s
Atkartojums 57: 2049280 ieraksti | Laiks: 25.24 s
Atkartojums 58: 2049280 ieraksti | Laiks: 24.69 s
Atkartojums 59: 2049280 ieraksti | Laiks: 25.32 s
Atkartojums 60: 2049280 ieraksti | Laiks: 24.46 s
Atkartojums 61: 2049280 ieraksti | Laiks: 25.40 s
Atkartojums 62: 2049280 ieraksti | Laiks: 24.62 s
Atkartojums 63: 2049280 ieraksti | Laiks: 25.67 s
Atkartojums 64: 2049280 ieraksti | Laiks: 24.57 s
Atkartojums 65: 2049280 ieraksti | Laiks: 25.67 s
Atkartojums 66: 2049280 ieraksti | Laiks: 24.37 s
Atkartojums 67: 2049280 ieraksti | Laiks: 25.41 s
Atkartojums 68: 2049280 ieraksti | Laiks: 24.81 s
Atkartojums 69: 2049280 ieraksti | Laiks: 25.71 s
Atkartojums 70: 2049280 ieraksti | Laiks: 24.94 s
Atkartojums 71: 2049280 ieraksti | Laiks: 25.09 s
Atkartojums 72: 2049280 ieraksti | Laiks: 24.35 s
Atkartojums 73: 2049280 ieraksti | Laiks: 25.28 s
Atkartojums 74: 2049280 ieraksti | Laiks: 24.91 s
Atkartojums 75: 2049280 ieraksti | Laiks: 24.62 s
Atkartojums 76: 2049280 ieraksti | Laiks: 24.93 s
Atkartojums 77: 2049280 ieraksti | Laiks: 25.34 s
Atkartojums 78: 2049280 ieraksti | Laiks: 24.82 s
Atkartojums 79: 2049280 ieraksti | Laiks: 24.96 s
Atkartojums 80: 2049280 ieraksti | Laiks: 24.29 s
Atkartojums 81: 2049280 ieraksti | Laiks: 25.11 s
Atkartojums 82: 2049280 ieraksti | Laiks: 25.03 s
Atkartojums 83: 2049280 ieraksti | Laiks: 24.89 s
Atkartojums 84: 2049280 ieraksti | Laiks: 25.15 s
Atkartojums 85: 2049280 ieraksti | Laiks: 24.83 s
Atkartojums 86: 2049280 ieraksti | Laiks: 24.90 s
Atkartojums 87: 2049280 ieraksti | Laiks: 25.23 s
Atkartojums 88: 2049280 ieraksti | Laiks: 24.88 s
Atkartojums 89: 2049280 ieraksti | Laiks: 24.70 s
Atkartojums 90: 2049280 ieraksti | Laiks: 24.90 s
Atkartojums 91: 2049280 ieraksti | Laiks: 24.96 s
Atkartojums 92: 2049280 ieraksti | Laiks: 25.21 s
Atkartojums 93: 2049280 ieraksti | Laiks: 25.05 s
Atkartojums 94: 2049280 ieraksti | Laiks: 25.11 s
Atkartojums 95: 2049280 ieraksti | Laiks: 25.05 s
Atkartojums 96: 2049280 ieraksti | Laiks: 24.63 s
Atkartojums 97: 2049280 ieraksti | Laiks: 25.09 s
Atkartojums 98: 2049280 ieraksti | Laiks: 25.05 s
Atkartojums 99: 2049280 ieraksti | Laiks: 24.98 s
Atkartojums 100: 2049280 ieraksti | Laiks: 25.11 s
