100 atkartojumi | Agregatvaicajums: MEAN(Global_active_power)

Atkartojums 1: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 2: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 3: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 4: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 5: Rezultats: 1.0916150365006256 | Laiks: 0.24 s
Atkartojums 6: Rezultats: 1.0916150365006256 | Laiks: 0.24 s
Atkartojums 7: Rezultats: 1.0916150365006256 | Laiks: 0.22 s
Atkartojums 8: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 9: Rezultats: 1.0916150365006256 | Laiks: 0.24 s
Atkartojums 10: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 11: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 12: Rezultats: 1.0916150365006256 | Laiks: 0.25 s
Atkartojums 13: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 14: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 15: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 16: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 17: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 18: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 19: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 20: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 21: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 22: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 23: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 24: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 25: Rezultats: 1.0916150365006256 | Laiks: 0.22 s
Atkartojums 26: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 27: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 28: Rezultats: 1.0916150365006256 | Laiks: 0.22 s
Atkartojums 29: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 30: Rezultats: 1.0916150365006256 | Laiks: 0.24 s
Atkartojums 31: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 32: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 33: Rezultats: 1.0916150365006256 | Laiks: 0.26 s
Atkartojums 34: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 35: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 36: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 37: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 38: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 39: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 40: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
