100 atkartojumi | Agregatvaicajums: AVG(global_active_power)

Atkartojums 1: Videja vertiba: 1.0916 | Laiks: 0.33 s
Atkartojums 2: Videja vertiba: 1.0916 | Laiks: 0.28 s
Atkartojums 3: Videja vertiba: 1.0916 | Laiks: 0.27 s
Atkartojums 4: Videja vertiba: 1.0916 | Laiks: 0.27 s
Atkartojums 5: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 6: Videja vertiba: 1.0916 | Laiks: 0.27 s
Atkartojums 7: Videja vertiba: 1.0916 | Laiks: 0.27 s
Atkartojums 8: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 9: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 10: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 11: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 12: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 13: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 14: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 15: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 16: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 17: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 18: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 19: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 20: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 21: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 22: Videja vertiba: 1.0916 | Laiks: 0.23 s
Atkartojums 23: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 24: Videja vertiba: 1.0916 | Laiks: 0.29 s
Atkartojums 25: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 26: Videja vertiba: 1.0916 | Laiks: 0.28 s
Atkartojums 27: Videja vertiba: 1.0916 | Laiks: 0.32 s
Atkartojums 28: Videja vertiba: 1.0916 | Laiks: 0.27 s
Atkartojums 29: Videja vertiba: 1.0916 | Laiks: 0.27 s
Atkartojums 30: Videja vertiba: 1.0916 | Laiks: 0.27 s
Atkartojums 31: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 32: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 33: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 34: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 35: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 36: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 37: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 38: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 39: Videja vertiba: 1.0916 | Laiks: 0.27 s
Atkartojums 40: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 41: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 42: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 43: Videja vertiba: 1.0916 | Laiks: 0.30 s
Atkartojums 44: Videja vertiba: 1.0916 | Laiks: 0.26 s
